PlayerName,Points
Shaquille O'Neal,21
Voshon Lenard,8
Kobe Bryant,20
Terry Davis,6
Shaquille O'Neal,23
Voshon Lenard,9
Keon Clark,2
Isaiah Rider,5
Mike Penberthy,5
Isaiah Rider,7
Kobe Bryant,22
Shaquille O'Neal,25
Kobe Bryant,25
George McCloud,7
Kobe Bryant,27
Kobe Bryant,29
Antonio McDyess,19
Nick Van Exel,17
Antonio McDyess,21
Mike Penberthy,7
Antonio McDyess,23
James Posey,5
Shaquille O'Neal,27
Shaquille O'Neal,28
Antonio McDyess,25
Antonio McDyess,26
Kobe Bryant,31
James Posey,7
Horace Grant,11
Isaiah Rider,9
Shaquille O'Neal,30
Isaiah Rider,11
George McCloud,8
George McCloud,9
Shaquille O'Neal,32
Keon Clark,4
Shaquille O'Neal,34
Keon Clark,5
Keon Clark,6
Greg Foster,2
Antonio McDyess,28
Chucky Atkins,2
Joe Smith,2
Hubert Davis,2
Jerry Stackhouse,3
Jerry Stackhouse,6
Richard Hamilton,2
Jerry Stackhouse,9
Richard Hamilton,4
Ben Wallace,2
Ben Wallace,4
Courtney Alexander,2
Richard Hamilton,6
Richard Hamilton,8
Jerry Stackhouse,11
Christian Laettner,2
Michael Smith,2
Richard Hamilton,10
Corliss Williamson,2
Hubert Davis,5
Corliss Williamson,4
Richard Hamilton,12
Corliss Williamson,6
Christian Laettner,4
Jerry Stackhouse,13
Jerry Stackhouse,16
Christian Laettner,5
Christian Laettner,6
Jahidi White,2
